iter	Passed	Remaining
0	53	53706
1	54	26993
2	54	18085
3	54	13626
4	55	10966
5	55	9178
6	55	7901
7	56	6945
8	56	6200
9	56	5603
10	56	5115
11	57	4710
12	57	4364
13	57	4072
14	58	3817
15	58	3594
16	58	3397
17	59	3221
18	59	3065
19	59	2923
20	59	2795
21	60	2680
22	60	2574
23	60	2477
24	61	2388
25	61	2305
26	61	2229
27	62	2158
28	62	2098
29	62	2036
30	63	1981
31	63	1934
32	64	1881
33	64	1833
34	64	1787
35	65	1743
36	65	1703
37	65	1666
38	66	1632
39	66	1601
40	67	1568
41	67	1537
42	67	1509
43	68	1480
44	68	1452
45	68	1427
46	69	1402
47	69	1377
48	69	1357
49	70	1336
50	70	1314
51	70	1293
52	71	1274
53	71	1255
54	72	1237
55	72	1220
56	72	1206
57	73	1188
58	73	1172
59	73	1156
60	74	1141
61	74	1126
62	74	1112
63	75	1099
64	75	1086
65	75	1073
66	76	1062
67	76	1047
68	76	1034
69	77	1023
70	77	1012
71	77	1001
72	78	990
73	78	980
74	78	970
75	78	959
76	79	949
77	79	941
78	79	931
79	80	922
80	80	917
81	81	908
82	81	899
83	81	892
84	82	883
85	82	875
86	82	868
87	83	861
88	83	853
89	83	847
90	84	840
91	84	834
92	84	827
93	85	823
94	85	818
95	86	811
96	86	805
97	86	799
98	87	794
99	87	789
100	88	784
101	88	776
102	88	771
103	89	767
104	89	761
105	89	755
106	89	750
107	90	745
108	90	740
109	91	737
110	91	732
111	91	727
112	92	723
113	92	719
114	93	715
115	93	711
116	93	707
117	94	703
118	94	699
119	94	694
120	95	690
121	95	686
122	95	680
123	95	676
124	96	672
125	96	668
126	96	664
127	97	661
128	97	658
129	97	655
130	98	652
131	98	650
132	99	646
133	99	644
134	100	641
135	100	639
136	101	636
137	101	633
138	101	631
139	102	629
140	102	627
141	103	624
142	103	622
143	104	620
144	104	618
145	105	615
146	106	615
147	106	615
148	107	615
149	108	613
150	108	612
151	109	611
152	110	609
153	110	608
154	111	607
155	111	605
156	112	604
157	113	602
158	113	599
159	113	597
160	114	595
161	114	593
162	115	591
163	115	590
164	116	588
165	116	585
166	116	583
167	117	581
168	117	578
169	118	576
170	118	574
171	118	571
172	119	569
173	119	568
174	120	566
175	120	564
176	121	562
177	121	561
178	122	559
179	122	557
180	122	554
181	123	553
182	123	551
183	123	549
184	124	547
185	124	545
186	125	543
187	125	541
188	125	540
189	126	538
190	126	536
191	127	534
192	127	532
193	128	532
194	128	530
195	129	529
196	129	527
197	129	526
198	130	524
199	130	523
200	131	521
201	131	519
202	132	518
203	132	516
204	132	515
205	133	513
206	133	512
207	134	510
208	134	509
209	135	509
210	135	508
211	136	507
212	137	506
213	137	506
214	138	504
215	138	503
216	139	502
217	139	501
218	140	499
219	140	498
220	141	497
221	141	495
222	141	494
223	142	492
224	142	491
225	143	490
226	143	489
227	144	488
228	144	486
229	144	485
230	145	484
231	145	482
232	146	481
233	146	480
234	147	479
235	147	478
236	148	477
237	149	477
238	149	475
239	149	474
240	150	473
241	150	472
242	151	471
243	151	469
244	152	468
245	152	468
246	153	467
247	153	466
248	154	465
249	154	464
250	155	463
251	155	462
252	156	461
253	156	459
254	157	459
255	157	457
256	157	456
257	158	456
258	159	456
259	159	454
260	160	453
261	160	452
262	161	451
263	161	450
264	162	449
265	162	448
266	163	447
267	163	446
268	164	445
269	164	445
270	165	443
271	165	443
272	166	442
273	166	441
274	167	440
275	167	439
276	168	439
277	168	437
278	169	436
279	169	435
280	169	434
281	170	433
282	170	432
283	170	430
284	171	429
285	171	428
286	171	427
287	172	425
288	172	424
289	173	424
290	173	422
291	173	421
292	174	420
293	174	419
294	175	418
295	175	417
296	175	415
297	176	414
298	176	414
299	177	413
300	178	413
301	178	412
302	178	411
303	179	411
304	180	411
305	181	410
306	181	410
307	182	409
308	182	408
309	183	407
310	183	406
311	184	405
312	184	405
313	185	404
314	185	403
315	186	403
316	186	402
317	187	401
318	187	399
319	187	398
320	188	397
321	188	396
322	189	396
323	189	395
324	189	393
325	190	392
326	190	392
327	191	391
328	191	390
329	191	389
330	192	388
331	192	387
332	193	386
333	193	385
334	193	384
335	194	383
336	195	383
337	195	383
338	196	382
339	196	382
340	197	381
341	197	380
342	198	379
343	198	379
344	199	379
345	200	379
346	201	378
347	201	378
348	202	377
349	202	376
350	203	375
351	203	374
352	204	374
353	204	373
354	204	372
355	205	371
356	205	370
357	205	369
358	207	369
359	207	369
360	208	368
361	209	368
362	210	368
363	210	368
364	211	367
365	212	367
366	212	366
367	213	365
368	213	365
369	214	364
370	214	363
371	214	362
372	215	361
373	215	360
374	215	359
375	216	359
376	216	358
377	217	357
378	217	356
379	217	355
380	218	354
381	218	353
382	218	352
383	219	352
384	219	351
385	220	350
386	220	349
387	221	349
388	221	348
389	222	347
390	222	347
391	223	346
392	223	345
393	224	345
394	224	344
395	225	343
396	225	342
397	226	342
398	226	341
399	227	340
400	228	340
401	228	340
402	229	339
403	229	338
404	230	337
405	230	337
406	230	336
407	231	335
408	231	334
409	231	333
410	232	332
411	232	331
412	232	331
413	233	330
414	233	329
415	234	328
416	234	328
417	235	327
418	235	326
419	235	325
420	236	324
421	236	324
422	237	323
423	238	323
424	238	323
425	239	322
426	240	322
427	240	321
428	241	321
429	241	320
430	242	319
431	242	318
432	242	318
433	243	317
434	243	316
435	244	316
436	244	315
437	245	314
438	245	313
439	245	312
440	246	312
441	246	311
442	246	310
443	247	309
444	247	308
445	247	307
446	248	307
447	248	306
448	249	306
449	250	306
450	251	306
451	252	306
452	253	306
453	253	305
454	254	304
455	255	304
456	255	303
457	256	302
458	256	302
459	257	301
460	257	301
461	258	300
462	258	300
463	259	299
464	259	298
