iter	Passed	Remaining
0	54	54374
1	54	27438
2	55	18400
3	55	13894
4	56	11182
5	56	9385
6	57	8093
7	57	7119
8	57	6362
9	58	5753
10	58	5256
11	58	4842
12	59	4492
13	59	4191
14	59	3929
15	60	3700
16	60	3500
17	60	3320
18	61	3161
19	61	3016
20	61	2887
21	62	2769
22	62	2669
23	63	2569
24	63	2477
25	63	2392
26	64	2314
27	65	2260
28	65	2198
29	66	2134
30	66	2074
31	66	2020
32	67	1966
33	67	1916
34	67	1868
35	68	1824
36	68	1782
37	68	1742
38	69	1703
39	69	1668
40	69	1635
41	70	1603
42	70	1573
43	71	1545
44	71	1517
45	71	1490
46	72	1464
47	72	1438
48	72	1414
49	73	1391
50	73	1368
51	73	1348
52	74	1327
53	74	1307
54	74	1288
55	75	1270
56	75	1252
57	76	1235
58	76	1219
59	76	1203
60	77	1189
61	77	1174
62	78	1160
63	78	1147
64	78	1134
65	79	1122
66	79	1109
67	80	1096
68	80	1084
69	80	1072
70	81	1061
71	81	1049
72	81	1038
73	82	1028
74	82	1017
75	82	1007
76	83	996
77	83	987
78	83	977
79	84	968
80	84	959
81	84	950
82	85	940
83	85	932
84	85	923
85	86	916
86	86	909
87	87	903
88	87	897
89	88	890
90	88	883
91	88	876
92	89	870
93	89	863
94	89	857
95	90	850
96	90	844
97	91	838
98	91	834
99	92	828
100	92	822
101	92	817
102	93	812
103	93	808
104	94	803
105	94	798
106	95	793
107	95	789
108	95	784
109	96	779
110	96	774
111	97	769
112	97	764
113	97	761
114	98	756
115	98	753
116	99	748
117	99	745
118	100	741
119	100	738
120	101	733
121	101	729
122	101	726
123	102	724
124	102	720
125	103	717
126	103	712
127	104	709
128	104	705
129	104	702
130	105	698
131	105	694
132	106	691
133	106	688
134	106	684
135	107	681
136	107	678
137	108	676
138	108	674
139	109	670
140	109	667
141	109	663
142	110	660
143	110	657
144	110	654
145	111	651
146	111	648
147	112	645
148	112	642
149	112	639
150	113	636
151	113	634
152	114	632
153	114	630
154	115	627
155	115	625
156	115	622
157	116	619
158	116	617
159	117	614
160	117	611
161	117	608
162	118	606
163	118	604
164	119	602
165	119	600
166	119	598
167	120	595
168	120	593
169	121	591
170	121	589
171	121	587
172	122	585
173	122	583
174	123	581
175	123	579
176	124	576
177	124	574
178	124	572
179	125	570
180	125	568
181	125	565
182	126	563
183	126	561
184	126	559
185	127	557
186	127	555
187	128	554
188	128	553
189	129	551
190	129	549
191	130	547
192	130	545
193	130	543
194	131	541
195	131	540
196	132	538
197	132	536
198	132	534
199	133	532
200	133	530
201	133	528
202	134	526
203	134	525
204	134	523
205	135	521
206	135	520
207	136	518
208	136	516
209	137	515
210	137	514
211	137	512
212	138	511
213	138	509
214	139	508
215	139	506
216	140	505
217	140	503
218	140	501
219	141	500
220	141	499
221	142	497
222	142	496
223	143	495
224	143	494
225	144	493
226	144	491
227	144	490
228	145	489
229	145	487
230	146	486
231	146	485
232	147	484
233	147	482
234	147	481
235	148	480
236	148	479
237	149	478
238	149	476
239	150	475
240	150	474
241	151	473
242	151	472
243	152	471
244	152	470
245	152	468
246	153	467
247	153	466
248	154	464
249	154	463
250	154	462
251	155	460
252	155	459
253	156	458
254	156	457
255	156	456
256	157	454
257	157	453
258	158	452
259	158	451
260	159	450
261	159	449
262	159	448
263	160	446
264	160	445
265	160	444
266	161	443
267	161	441
268	162	440
269	162	439
270	163	438
271	163	437
272	164	437
273	164	436
274	165	436
275	166	436
276	167	436
277	167	435
278	168	436
279	169	435
280	169	434
281	170	433
282	170	433
283	171	432
284	172	432
285	173	432
286	173	431
287	174	430
288	175	430
289	175	430
290	176	430
291	177	429
292	178	430
293	178	429
294	179	428
295	180	429
296	180	428
297	181	427
298	181	426
299	182	425
300	182	424
301	183	423
302	183	422
303	184	421
304	184	420
305	184	418
306	185	419
307	186	418
308	186	417
309	187	416
310	187	415
311	187	414
312	188	413
313	188	411
314	188	410
315	189	409
316	189	408
317	190	407
318	190	406
319	191	406
320	191	405
321	192	405
322	192	404
323	193	403
324	194	402
325	194	401
326	194	400
327	195	399
328	195	398
329	195	397
330	196	396
331	196	395
332	197	394
333	197	393
334	197	392
335	198	391
336	198	390
337	198	389
338	199	388
339	199	387
340	200	386
341	200	385
342	200	384
343	201	384
344	201	383
345	202	383
346	203	382
347	203	381
348	203	380
349	204	379
350	204	378
351	205	377
352	205	376
353	205	375
354	206	374
355	206	374
356	207	373
357	207	372
358	208	371
359	208	370
360	208	369
361	209	368
362	209	368
363	210	367
364	210	367
365	211	366
366	211	365
367	212	364
368	212	363
369	212	362
370	213	361
371	213	360
372	213	359
373	214	358
374	214	357
375	215	356
376	215	355
377	215	354
378	216	354
379	216	353
380	217	352
381	217	352
382	218	351
383	218	350
384	218	349
385	219	348
386	219	348
387	220	347
388	220	346
389	220	345
390	221	344
391	221	343
392	222	342
393	222	342
394	223	341
395	223	340
396	223	339
397	224	339
398	224	338
399	224	337
400	225	336
401	225	335
402	226	334
403	226	334
404	226	333
405	227	332
406	227	331
407	227	330
408	228	329
409	228	328
410	228	327
411	229	327
412	229	326
413	230	325
414	230	325
415	231	324
416	231	324
417	232	323
418	232	322
419	232	321
420	233	320
421	233	320
422	234	319
423	234	318
424	234	317
425	235	317
426	235	316
427	236	315
428	236	314
429	236	313
430	237	313
431	237	312
432	237	311
433	238	310
434	238	310
435	239	309
436	239	308
437	240	308
438	240	307
439	240	306
440	241	305
441	241	305
442	242	304
443	242	303
444	243	303
445	243	302
446	243	301
447	244	300
448	244	300
449	245	299
450	245	299
451	246	298
452	246	297
453	246	296
454	247	296
455	247	295
456	248	294
457	248	294
458	249	293
459	249	293
460	250	292
461	250	291
462	250	290
463	251	290
464	251	289
465	252	288
466	252	288
467	252	287
468	253	287
469	253	286
470	254	285
471	254	285
472	255	284
473	255	283
474	255	282
475	256	282
476	256	281
477	257	280
478	257	280
479	257	279
480	258	278
481	258	278
482	259	277
483	259	276
484	260	276
485	260	275
486	260	274
487	261	274
488	261	273
489	261	272
490	262	271
491	262	271
492	263	270
493	263	269
494	264	269
495	264	268
496	264	268
497	265	267
498	265	266
499	266	266
500	266	265
501	267	264
502	267	264
503	267	263
504	268	263
505	268	262
506	269	261
507	269	261
508	269	260
509	270	259
510	270	258
511	271	258
512	271	257
513	272	257
514	272	256
515	272	255
516	273	255
517	273	254
518	273	253
519	274	252
520	274	252
521	274	251
522	275	250
523	275	250
524	276	249
525	276	249
526	276	248
527	277	247
528	277	247
529	278	246
530	278	246
531	279	245
532	279	244
533	280	244
534	280	243
535	281	243
536	281	242
537	282	242
538	282	241
539	283	241
540	283	240
541	284	240
542	284	239
543	285	238
544	285	238
545	286	237
546	286	237
547	287	236
548	287	236
549	288	235
550	288	235
551	289	234
552	289	234
553	290	233
554	290	233
555	291	232
556	291	231
557	291	231
558	292	230
559	292	230
560	293	229
561	293	229
562	294	228
563	294	227
564	295	227
565	295	226
566	295	225
567	296	225
568	296	224
569	297	224
570	297	223
571	298	223
572	298	222
573	299	221
574	299	221
575	299	220
576	300	220
577	300	219
578	301	218
579	301	218
580	301	217
581	302	217
582	302	216
583	303	215
584	303	215
585	303	214
586	304	214
587	304	213
588	304	212
589	305	212
590	305	211
591	306	211
592	306	210
593	307	209
594	307	209
595	307	208
596	308	208
597	308	207
598	309	206
599	309	206
600	309	205
601	310	205
602	310	204
603	311	204
604	311	203
605	312	202
606	312	202
607	313	201
608	313	201
609	313	200
610	314	200
611	314	199
612	315	198
613	315	198
614	315	197
615	316	197
616	316	196
617	316	195
618	317	195
619	318	194
620	318	194
621	318	193
622	319	193
623	319	192
624	320	192
625	320	191
626	321	191
627	321	190
628	321	189
629	322	189
630	322	188
631	323	188
632	323	187
633	323	187
634	324	186
635	324	185
636	325	185
637	325	184
638	326	184
639	326	183
640	327	183
641	327	182
642	327	182
643	328	181
644	328	180
645	329	180
646	329	179
647	330	179
648	330	178
649	330	178
650	331	177
651	331	177
652	332	176
653	332	175
654	332	175
655	333	174
656	333	174
657	334	173
658	334	173
659	335	172
660	335	172
661	336	171
662	336	171
